year,mounth,day,EurUsd,AudUsd,CadUsd,EurChf,EurCny,GbpAud,GbpUsd,NzdUsd,UsdChf,UsdCny,UsdJpy,Gold,Brent
2010,2,5,1.36965,0.8658,0.9332,1.4651,9.35195,1.81215,1.56955,0.689,1.06905,6.8282,89.3,1131.45,79.305
2010,2,8,1.36585,0.86645,0.93295,1.4663,9.3242,1.7993,1.55955,0.68465,1.0743,6.82665,89.25,1134.75,80.44
2010,2,9,1.37205,0.87105,0.93335,1.4658,9.3646,1.79535,1.56445,0.68895,1.06925,6.8263,89.525,1122.65,81.135
2010,2,10,1.37595,0.8768,0.93915,1.4667,9.3946,1.78395,1.5649,0.6947,1.06615,6.82785,89.87,1103.75,81.755
2010,2,11,1.3707,0.8832,0.94635,1.4662,9.3631,1.771,1.56425,0.6964,1.0688,6.8325,89.815,1090.3,81.44
2010,2,12,1.3656,0.88885,0.95145,1.466,9.33095,1.7657,1.56955,0.69785,1.0759,6.8344,90.07,1097.9,81.25
2010,2,15,1.36065,0.8883,0.9522,1.46545,9.29675,1.76345,1.56685,0.69685,1.0768,6.8334,90.065,1094.7,79.925
2010,2,16,1.36825,0.8953,0.95555,1.46655,9.3494,1.75595,1.5722,0.7016,1.07185,6.8334,90.155,1092.7,78.4
2010,2,17,1.36855,0.90085,0.95705,1.46715,9.35025,1.7461,1.57295,0.7045,1.0718,6.8334,90.665,1085.7,78.185
2010,2,18,1.36115,0.90055,0.95795,1.46665,9.29945,1.73745,1.56485,0.69915,1.0826,6.8331,91.535,1084,77.73
2010,2,19,1.3572,0.89715,0.95905,1.46435,9.27145,1.72765,1.55065,0.6975,1.08155,6.82955,91.755,1092.65,77.005
2010,2,22,1.3617,0.9007,0.96105,1.46375,9.2968,1.7182,1.54795,0.7009,1.07525,6.82895,91.45,1112.1,77.43
2010,2,23,1.3549,0.89485,0.953,1.4634,9.24965,1.7253,1.54465,0.69815,1.079,6.82755,90.715,1113.6,76.91
2010,2,24,1.35205,0.89185,0.9475,1.46325,9.23035,1.72735,1.54145,0.69435,1.08185,6.82685,90.23,1086.2,75.32
2010,2,25,1.3546,0.8908,0.94615,1.4636,9.24655,1.7214,1.5338,0.6924,1.0811,6.82655,89.795,1060.25,73.615
2010,2,26,1.3587,0.8915,0.9465,1.46315,9.2748,1.71095,1.5258,0.6944,1.0774,6.82655,89.115,1066.6,73.075
2010,3,1,1.35925,0.89855,0.9538,1.46325,9.2777,1.6773,1.5075,0.6997,1.07635,6.8259,89.02,1070.05,73.49
2010,3,2,1.3581,0.90215,0.9625,1.4633,9.27065,1.65935,1.49745,0.6983,1.07695,6.8265,88.975,1076.9,72.72
2010,3,3,1.3658,0.9047,0.96775,1.4624,9.3225,1.6619,1.5039,0.6953,1.071,6.8262,88.695,1085.5,72.245
2010,3,4,1.36375,0.90295,0.96935,1.46245,9.3087,1.6681,1.50655,0.68985,1.0724,6.8263,88.895,1089.55,71.83
2010,3,5,1.36015,0.90385,0.9701,1.46275,9.28425,1.66885,1.50865,0.69115,1.07555,6.82635,89.74,1107.05,72.23
2010,3,8,1.3631,0.9085,0.97265,1.46335,9.3041,1.6615,1.51,0.6996,1.07355,6.8262,90.46,1117.95,74.83
2010,3,9,1.36155,0.9115,0.9736,1.46265,9.2944,1.6491,1.5034,0.7015,1.0742,6.82635,90.155,1111.25,75.86
2010,3,10,1.363,0.9142,0.9748,1.4618,9.3035,1.63905,1.49895,0.7018,1.07265,6.8261,90.255,1114.3,74.015
2010,3,11,1.36675,0.9151,0.9758,1.46115,9.3298,1.64095,1.5018,0.7001,1.06955,6.82695,90.59,1118,70.86
2010,3,12,1.37205,0.9152,0.97925,1.4588,9.3648,1.652,1.5124,0.7007,1.0631,6.82585,90.62,1109.55,70.235
2010,3,15,1.37265,0.91605,0.98245,1.4545,9.368,1.6492,1.51135,0.7032,1.06,6.8255,90.515,1101.35,70.88
2010,3,16,1.37245,0.91675,0.9839,1.45215,9.3674,1.65245,1.51495,0.70755,1.0586,6.8261,90.325,1104.2,72.215
2010,3,17,1.3754,0.92175,0.98865,1.4498,9.3879,1.65795,1.5288,0.71305,1.0548,6.826,90.37,1112.5,72.925
2010,3,18,1.36695,0.922,0.98775,1.44245,9.33035,1.6571,1.5282,0.71445,1.0559,6.82615,90.455,1118.55,73.405
2010,3,19,1.35705,0.9175,0.9844,1.43785,9.2626,1.64885,1.5128,0.7117,1.0595,6.826,90.515,1127.3,72.815
2010,3,22,1.35405,0.9162,0.9831,1.43435,9.24305,1.64185,1.5045,0.7069,1.05945,6.826,90.38,1138.2,74.15
2010,3,23,1.35315,0.91825,0.98325,1.43075,9.23655,1.64105,1.50745,0.7062,1.0574,6.82645,90.37,1133.65,76.01
2010,3,24,1.34045,0.9126,0.97925,1.4278,9.1502,1.6381,1.4954,0.7042,1.0646,6.8262,91.215,1133.05,76.815
2010,3,25,1.32975,0.9076,0.97585,1.4273,9.07715,1.63515,1.48425,0.7041,1.0719,6.82665,92.275,1129.1,77.59
2010,3,26,1.33465,0.90585,0.975,1.42665,9.11065,1.63975,1.4858,0.704,1.0685,6.8271,92.535,1122.6,78.525
2010,3,29,1.3483,0.911,0.9775,1.43015,9.20425,1.6426,1.49685,0.7066,1.06295,6.82635,92.415,1117.45,77.825
2010,3,30,1.3446,0.91775,0.98,1.43135,9.17805,1.63685,1.50265,0.7102,1.0636,6.8258,92.68,1107.75,77.72
2010,3,31,1.34635,0.9175,0.98275,1.42715,9.1898,1.6483,1.5128,0.7097,1.05875,6.8255,93.155,1109.45,77.015
2010,4,1,1.3546,0.919,0.98825,1.4279,9.247,1.6577,1.5238,0.7082,1.05325,6.82585,93.635,1104.65,77.02
2010,4,2,1.3544,0.9198,0.9903,1.4319,9.2444,1.65745,1.525,0.707,1.0576,6.8256,94.175,1118.35,77.29
2010,4,5,1.34885,0.9202,0.99515,1.43185,9.20615,1.66,1.52795,0.7053,1.06265,6.8253,94.405,1125.9,77.615
2010,4,6,1.3441,0.92445,0.99825,1.4321,9.1739,1.6529,1.52845,0.7048,1.0668,6.82545,93.96,1124.25,78.76
2010,4,7,1.3368,0.92735,0.99695,1.4323,9.12365,1.6438,1.52555,0.706,1.07235,6.82555,93.425,1115.8,78.93
2010,4,8,1.33485,0.928,0.9963,1.4329,9.10975,1.6433,1.52525,0.7072,1.07335,6.8245,93.315,1100.7,79.41
2010,4,9,1.34295,0.9308,0.99745,1.43585,9.16285,1.6463,1.53275,0.71205,1.06885,6.8237,93.3,1099.15,80.34
2010,4,12,1.3604,0.9313,0.99585,1.4399,9.2831,1.65455,1.54105,0.7158,1.0587,6.82435,93.15,1090.5,80.085
2010,4,13,1.35955,0.927,0.99805,1.4371,9.27895,1.6575,1.5371,0.7118,1.057,6.8259,93.225,1092.4,80.09
2010,4,14,1.3635,0.93175,0.99985,1.43565,9.30585,1.65485,1.5425,0.7128,1.05275,6.8254,93.275,1098.4,80.265
2010,4,15,1.36165,0.9352,0.99975,1.43465,9.29475,1.65575,1.5485,0.7142,1.05415,6.82575,93.115,1110.5,79.9
2010,4,16,1.35395,0.92945,0.9929,1.4332,9.24,1.6579,1.54125,0.71045,1.0592,6.8255,92.655,1107.1,78.49
2010,4,19,1.34815,0.923,0.98535,1.4331,9.2013,1.65885,1.53125,0.7091,1.06335,6.82545,92.215,1108.2,78.31
2010,4,20,1.3464,0.92875,0.9856,1.43465,9.19005,1.6525,1.5354,0.71,1.0661,6.8254,92.795,1119,81.44
2010,4,21,1.3412,0.9288,1.00115,1.4345,9.15545,1.657,1.53945,0.7102,1.0697,6.8262,93.06,1127.6,81.69
2010,4,22,1.3339,0.92705,1.0001,1.4328,9.1068,1.661,1.54005,0.70965,1.07675,6.826,93.27,1132.95,80.65
2010,4,23,1.3336,0.92715,1.0001,1.43425,9.10335,1.6589,1.5383,0.71315,1.0778,6.82715,93.75,1144.05,80.075
2010,4,26,1.33715,0.9261,1.00025,1.43515,9.1273,1.66435,1.5421,0.7196,1.0728,6.8264,94.035,1149.3,80.72
2010,4,27,1.32805,0.9212,0.9912,1.43345,9.06445,1.6663,1.53505,0.71735,1.0795,6.82575,93.54,1155.9,79.995
2010,4,28,1.3185,0.91975,0.9873,1.4335,8.99915,1.6548,1.52225,0.71445,1.0869,6.82515,93.6,1165.05,79.52
2010,4,29,1.32145,0.92625,0.99235,1.43325,9.0192,1.64775,1.5264,0.7203,1.08445,6.8252,93.985,1154.15,79.325
2010,4,30,1.32715,0.92645,0.9886,1.4331,9.0568,1.65185,1.53075,0.7254,1.08005,6.8255,93.91,1155.1,80.325
2010,5,3,1.3268,0.92455,0.98675,1.4331,9.05435,1.65245,1.5281,0.72945,1.08135,6.825,94.39,1158.6,81.3
2010,5,4,1.3087,0.9174,0.9829,1.43215,8.9315,1.6552,1.51875,0.72555,1.09475,6.82575,94.78,1147.95,81.92
2010,5,5,1.2891,0.9064,0.9727,1.43245,8.79825,1.66695,1.5114,0.7235,1.11085,6.82605,94.39,1134.55,83.225
2010,5,6,1.274,0.8957,0.96095,1.41955,8.6964,1.6669,1.49345,0.7203,1.11565,6.8262,92.62,1137.5,85.175
2010,5,7,1.26975,0.8876,0.9547,1.4097,8.6664,1.66445,1.4778,0.7144,1.1109,6.82585,91.48,1145.4,86.025
2010,5,10,1.28575,0.90145,0.9731,1.42105,8.77685,1.6468,1.48495,0.718,1.10765,6.82595,92.595,1143.15,85.78
2010,5,11,1.2723,0.89895,0.97775,1.4128,8.6863,1.65845,1.49125,0.71935,1.1112,6.8276,92.91,1146.3,85.08
2010,5,12,1.26305,0.8943,0.98095,1.40365,8.62445,1.6636,1.4879,0.71645,1.11035,6.82775,93,1156.8,85.005
2010,5,13,1.25805,0.8948,0.9806,1.4014,8.58825,1.6442,1.4717,0.71355,1.11365,6.8277,92.895,1157.25,84.82
2010,5,14,1.24435,0.88985,0.9723,1.40095,8.4942,1.63645,1.45665,0.70955,1.1256,6.8273,92.555,1168.75,84.69
2010,5,17,1.2373,0.88095,0.96775,1.4014,8.44635,1.6457,1.4502,0.7015,1.1329,6.82695,92.395,1167.6,85.415
2010,5,18,1.2289,0.8699,0.9655,1.4009,8.38965,1.654,1.43945,0.6919,1.1428,6.82715,92.2,1175.05,86.725
2010,5,19,1.2306,0.8546,0.9596,1.41425,8.4014,1.6819,1.4375,0.684,1.1528,6.8272,91.82,1180.65,86.735
2010,5,20,1.24485,0.83255,0.9471,1.43315,8.49785,1.7303,1.4406,0.6746,1.15075,6.82735,90.825,1174.8,84.985
2010,5,21,1.25205,0.8199,0.93895,1.44035,8.54665,1.75685,1.4408,0.6733,1.14935,6.8266,89.93,1171.05,84.655
2010,5,24,1.24495,0.828,0.9404,1.43785,8.49915,1.7439,1.44425,0.6732,1.1558,6.8279,90.145,1186.4,85.435
2010,5,25,1.23545,0.8267,0.93965,1.43035,8.4382,1.74335,1.44135,0.6701,1.15885,6.8295,90.22,1207.5,85.675
2010,5,26,1.22705,0.8248,0.9367,1.4204,8.38065,1.74585,1.4405,0.667,1.1582,6.82895,90.155,1201.2,86.375
2010,5,27,1.2263,0.83645,0.94375,1.41685,8.37375,1.7304,1.44775,0.674,1.15545,6.8293,90.485,1212.05,87.05
2010,5,28,1.23165,0.8493,0.951,1.4226,8.41205,1.70945,1.4524,0.6807,1.15555,6.8303,91.03,1236.65,86.305
2010,5,31,1.22895,0.84565,0.95385,1.421,8.39135,1.71235,1.44855,0.6786,1.15675,6.8287,91.2,1232.05,85.725
2010,6,1,1.2266,0.8396,0.9529,1.41765,8.37485,1.73735,1.459,0.6786,1.15535,6.8285,91.165,1231.8,86.57
2010,6,2,1.2229,0.8354,0.9551,1.4133,8.3499,1.75235,1.46425,0.6799,1.1549,6.83005,91.63,1230.5,87.265
2010,6,3,1.2202,0.84295,0.9624,1.41025,8.3327,1.73525,1.46305,0.6834,1.15485,6.8284,92.34,1214.2,88.19
2010,6,4,1.20705,0.83265,0.9513,1.3996,8.241,1.7461,1.4541,0.6776,1.15885,6.82815,92.24,1208.35,87.215
2010,6,7,1.19305,0.8155,0.94265,1.3883,8.14825,1.7711,1.4448,0.6636,1.1632,6.8302,91.595,1183.65,83.905
2010,6,8,1.1947,0.81855,0.9488,1.38305,8.1596,1.7674,1.4469,0.6621,1.1578,6.8297,91.455,1179.7,81.24
2010,6,9,1.1978,0.8275,0.9561,1.37825,8.1794,1.75185,1.45015,0.669,1.1506,6.82865,91.35,1187.9,79.07
2010,6,10,1.2045,0.8381,0.96375,1.3796,8.22585,1.74375,1.4619,0.67915,1.14535,6.8292,91.42,1196.7,79.51
2010,6,11,1.2111,0.84935,0.9692,1.38805,8.27245,1.72085,1.4622,0.6875,1.1463,6.83165,91.57,1213.3,80.355
2010,6,14,1.21715,0.85475,0.9666,1.39405,8.31655,1.71385,1.4653,0.6942,1.1432,6.83265,91.65,1211.8,80.7
2010,6,15,1.22685,0.86135,0.9712,1.396,8.38195,1.714,1.47695,0.6968,1.1378,6.83265,91.58,1211.3,80.645
2010,6,16,1.2315,0.8642,0.97545,1.39425,8.4141,1.70815,1.4765,0.6973,1.1322,6.83265,91.425,1220.9,78.455
2010,6,17,1.23395,0.865,0.97425,1.38415,8.42815,1.7075,1.47735,0.70015,1.1213,6.8309,91.105,1222.75,76.575
2010,6,18,1.23855,0.86965,0.97615,1.375,8.4549,1.70425,1.48215,0.70515,1.1101,6.8284,90.79,1216,75.1
2010,6,21,1.23735,0.8784,0.97855,1.3693,8.4267,1.6845,1.48015,0.7104,1.10735,6.81165,90.795,1211.9,73.87
2010,6,22,1.2295,0.8743,0.97385,1.36405,8.36545,1.6906,1.47855,0.7067,1.109,6.8047,90.71,1229.85,72.795
